# ours, veh=rec392, demand_model=open-loop
sim_seconds,lane,pos,speed,binder,jy_arm,next_mouth_gap
431.0,e_d_6_2_d_6_3_2,21.404,13.690,1,2,Infinity
431.5,e_d_6_2_d_6_3_2,28.349,13.890,3,2,Infinity
432.0,e_d_6_2_d_6_3_2,35.294,13.890,3,2,Infinity
432.5,e_d_6_2_d_6_3_2,42.239,13.890,3,2,Infinity
433.0,e_d_6_2_d_6_3_2,49.184,13.890,3,2,Infinity
433.5,e_d_6_2_d_6_3_2,56.129,13.890,3,2,Infinity
434.0,e_d_6_2_d_6_3_2,63.074,13.890,3,2,Infinity
434.5,e_d_6_2_d_6_3_2,70.019,13.890,3,2,Infinity
435.0,e_d_6_2_d_6_3_2,76.964,13.890,3,2,Infinity
435.5,e_d_6_2_d_6_3_2,83.909,13.890,3,2,Infinity
436.0,e_d_6_2_d_6_3_2,90.854,13.890,3,2,Infinity
436.5,e_d_6_2_d_6_3_2,97.799,13.890,3,2,Infinity
437.0,e_d_6_2_d_6_3_2,104.744,13.890,3,2,Infinity
437.5,e_d_6_2_d_6_3_2,111.689,13.890,3,2,Infinity
438.0,e_d_6_2_d_6_3_2,118.634,13.890,3,2,Infinity
438.5,e_d_6_2_d_6_3_2,125.579,13.890,3,2,Infinity
439.0,e_d_6_2_d_6_3_2,132.524,13.890,3,2,Infinity
439.5,e_d_6_2_d_6_3_2,139.469,13.890,3,2,Infinity
440.0,e_d_6_2_d_6_3_2,146.414,13.890,3,2,Infinity
440.5,e_d_6_2_d_6_3_2,153.359,13.890,3,2,Infinity
441.0,e_d_6_2_d_6_3_2,160.304,13.890,3,2,Infinity
441.5,e_d_6_2_d_6_3_2,167.249,13.890,3,2,Infinity
442.0,e_d_6_2_d_6_3_2,174.194,13.890,3,2,Infinity
442.5,e_d_6_2_d_6_3_2,181.139,13.890,3,2,Infinity
443.0,e_d_6_2_d_6_3_2,188.084,13.890,3,2,Infinity
443.5,e_d_6_2_d_6_3_2,195.029,13.890,3,2,Infinity
444.0,e_d_6_2_d_6_3_2,201.228,12.398,1,2,0.55
444.5,e_d_6_2_d_6_3_2,206.490,10.523,2,2,5.28
445.0,e_d_6_2_d_6_3_2,212.027,11.075,2,2,Infinity
445.5,e_d_6_2_d_6_3_2,217.677,11.299,10,2,Infinity
446.0,e_d_6_2_d_6_3_2,222.201,9.049,10,2,Infinity
446.5,:d_6_3_12_0,2.601,6.799,10,2,Infinity
447.0,:d_6_3_23_0,0.500,8.099,10,3,122.38
447.5,:d_6_3_23_0,5.200,9.399,2,3,130.72
448.0,:d_6_3_23_0,10.370,10.340,3,3,139.05
448.5,:d_6_3_23_0,15.540,10.340,3,3,147.39
449.0,e_d_6_3_d_5_3_3,2.460,10.340,3,3,Infinity
449.5,e_d_6_3_d_5_3_3,8.280,11.640,1,2,Infinity
450.0,e_d_6_3_d_5_3_3,14.750,12.940,1,2,Infinity
450.5,e_d_6_3_d_5_3_2,21.870,14.240,1,2,Infinity
451.0,e_d_6_3_d_5_3_2,29.640,15.540,5,2,Infinity
451.5,e_d_6_3_d_5_3_2,37.975,16.670,3,2,Infinity
452.0,e_d_6_3_d_5_3_2,46.310,16.670,3,2,Infinity
452.5,e_d_6_3_d_5_3_2,54.645,16.670,3,2,Infinity
453.0,e_d_6_3_d_5_3_2,62.980,16.670,3,2,Infinity
453.5,e_d_6_3_d_5_3_1,71.315,16.670,3,2,Infinity
454.0,e_d_6_3_d_5_3_1,79.650,16.670,3,2,Infinity
454.5,e_d_6_3_d_5_3_1,87.985,16.670,3,2,0.87
455.0,e_d_6_3_d_5_3_1,96.320,16.670,3,2,4.50
455.5,e_d_6_3_d_5_3_1,104.655,16.670,3,2,Infinity
456.0,e_d_6_3_d_5_3_1,112.990,16.670,3,2,Infinity
456.5,e_d_6_3_d_5_3_1,121.325,16.670,3,2,0.17
457.0,e_d_6_3_d_5_3_1,129.660,16.670,3,2,3.80
457.5,e_d_6_3_d_5_3_1,137.995,16.670,3,2,Infinity
458.0,e_d_6_3_d_5_3_1,144.080,12.170,11,2,Infinity
458.5,e_d_6_3_d_5_3_1,150.815,13.470,10,2,Infinity
459.0,e_d_6_3_d_5_3_1,158.200,14.770,10,2,Infinity
459.5,e_d_6_3_d_5_3_1,166.235,16.070,10,2,Infinity
460.0,e_d_6_3_d_5_3_1,174.570,16.670,3,2,Infinity
460.5,e_d_6_3_d_5_3_1,182.905,16.670,3,2,Infinity
461.0,e_d_6_3_d_5_3_1,191.240,16.670,3,2,Infinity
461.5,e_d_6_3_d_5_3_1,199.575,16.670,3,2,Infinity
462.0,e_d_6_3_d_5_3_1,207.700,16.250,4,2,Infinity
462.5,e_d_6_3_d_5_3_1,214.700,14.000,4,2,Infinity
463.0,e_d_6_3_d_5_3_1,220.575,11.750,4,2,Infinity
463.5,e_d_6_3_d_5_3_1,225.325,9.500,4,2,Infinity
464.0,:d_5_3_4_0,2.750,7.250,4,2,Infinity
464.5,:d_5_3_4_0,6.375,7.250,3,0,Infinity
465.0,:d_5_3_20_0,0.480,2.750,14,0,55.21
465.5,:d_5_3_20_0,2.505,4.050,2,0,62.02
466.0,e_d_5_3_d_5_4_1,1.000,5.350,2,0,Infinity
466.5,e_d_5_3_d_5_4_1,4.325,6.650,1,2,Infinity
467.0,e_d_5_3_d_5_4_1,8.300,7.950,1,2,Infinity
467.5,e_d_5_3_d_5_4_2,12.925,9.250,1,2,Infinity
468.0,e_d_5_3_d_5_4_1,18.200,10.550,1,2,Infinity
468.5,e_d_5_3_d_5_4_1,24.125,11.850,1,2,Infinity
469.0,e_d_5_3_d_5_4_1,30.700,13.150,1,2,Infinity
469.5,e_d_5_3_d_5_4_1,37.645,13.890,3,2,Infinity
470.0,e_d_5_3_d_5_4_2,44.590,13.890,3,2,Infinity
470.5,e_d_5_3_d_5_4_2,51.535,13.890,3,2,Infinity
471.0,e_d_5_3_d_5_4_2,58.480,13.890,3,2,Infinity
471.5,e_d_5_3_d_5_4_2,65.425,13.890,3,2,Infinity
472.0,e_d_5_3_d_5_4_2,72.370,13.890,3,2,Infinity
472.5,e_d_5_3_d_5_4_2,79.315,13.890,3,2,Infinity
473.0,e_d_5_3_d_5_4_2,86.260,13.890,3,2,Infinity
473.5,e_d_5_3_d_5_4_2,93.205,13.890,3,2,Infinity
474.0,e_d_5_3_d_5_4_2,100.150,13.890,3,2,Infinity
474.5,e_d_5_3_d_5_4_2,107.095,13.890,3,2,Infinity
475.0,e_d_5_3_d_5_4_2,114.040,13.890,3,2,Infinity
475.5,e_d_5_3_d_5_4_2,120.985,13.890,3,2,Infinity
476.0,e_d_5_3_d_5_4_2,127.930,13.890,3,2,Infinity
476.5,e_d_5_3_d_5_4_2,134.875,13.890,3,2,2.58
477.0,e_d_5_3_d_5_4_2,141.820,13.890,3,2,Infinity
477.5,e_d_5_3_d_5_4_2,148.765,13.890,3,2,Infinity
478.0,e_d_5_3_d_5_4_2,155.710,13.890,3,2,Infinity
478.5,e_d_5_3_d_5_4_2,162.655,13.890,3,2,Infinity
479.0,e_d_5_3_d_5_4_2,169.600,13.890,3,2,Infinity
479.5,e_d_5_3_d_5_4_2,176.545,13.890,3,2,Infinity
480.0,e_d_5_3_d_5_4_2,183.490,13.890,3,2,Infinity
480.5,e_d_5_3_d_5_4_2,190.435,13.890,3,2,Infinity
481.0,e_d_5_3_d_5_4_2,197.380,13.890,3,2,Infinity
481.5,e_d_5_3_d_5_4_2,204.325,13.890,3,2,Infinity
482.0,e_d_5_3_d_5_4_2,211.068,13.486,10,2,Infinity
482.5,e_d_5_3_d_5_4_2,216.686,11.236,10,2,Infinity
483.0,e_d_5_3_d_5_4_2,220.054,6.736,11,2,Infinity
483.5,:d_5_4_11_0,0.705,7.302,10,2,Infinity
484.0,:d_5_4_11_0,3.232,5.052,14,0,Infinity
484.5,:d_5_4_11_0,4.633,2.802,14,0,Infinity
485.0,:d_5_4_11_0,4.909,0.552,14,0,Infinity
485.5,:d_5_4_11_0,4.909,0.000,14,0,Infinity
486.0,:d_5_4_11_0,4.909,0.000,14,0,Infinity
486.5,:d_5_4_21_0,0.549,1.300,3,0,28.40
487.0,:d_5_4_21_0,1.849,2.600,3,0,34.25
487.5,:d_5_4_21_0,3.799,3.900,3,0,40.75
488.0,:d_5_4_21_0,6.399,5.200,3,0,47.70
488.5,:d_5_4_21_0,9.649,6.500,2,0,54.64
489.0,:d_5_4_21_0,13.549,7.800,2,0,61.59
489.5,e_d_5_4_d_4_4_2,1.339,9.100,2,0,Infinity
490.0,e_d_5_4_d_4_4_2,6.539,10.400,1,2,Infinity
490.5,e_d_5_4_d_4_4_2,12.389,11.700,1,2,Infinity
491.0,e_d_5_4_d_4_4_2,18.889,13.000,1,2,Infinity
491.5,e_d_5_4_d_4_4_2,25.834,13.890,3,2,Infinity
492.0,e_d_5_4_d_4_4_2,32.779,13.890,3,2,Infinity
492.5,e_d_5_4_d_4_4_2,39.724,13.890,3,2,Infinity
493.0,e_d_5_4_d_4_4_2,46.669,13.890,3,2,Infinity
493.5,e_d_5_4_d_4_4_2,53.614,13.890,3,2,Infinity
494.0,e_d_5_4_d_4_4_2,60.559,13.890,3,2,Infinity
494.5,e_d_5_4_d_4_4_2,67.504,13.890,3,2,Infinity
495.0,e_d_5_4_d_4_4_2,74.449,13.890,3,2,Infinity
495.5,e_d_5_4_d_4_4_2,81.394,13.890,3,2,Infinity
496.0,e_d_5_4_d_4_4_1,88.339,13.890,3,2,Infinity
496.5,e_d_5_4_d_4_4_1,95.284,13.890,3,2,Infinity
497.0,e_d_5_4_d_4_4_1,102.229,13.890,3,2,Infinity
497.5,e_d_5_4_d_4_4_1,109.174,13.890,3,2,Infinity
498.0,e_d_5_4_d_4_4_1,116.119,13.890,3,2,Infinity
